AtomicNumber,Element,Symbol,AtomicMass,Period,Group
1,Hydrogen,H,1.007,1,1
2,Helium,He,4.002,1,18
3,Lithium,Li,6.941,2,1
4,Beryllium,Be,9.012,2,2
5,Boron,B,10.811,2,13
6,Carbon,C,12.011,2,14
7,Nitrogen,N,14.007,2,15
8,Oxygen,O,15.999,2,16
9,Fluorine,F,18.998,2,17
10,Neon,Ne,20.18,2,18
11,Sodium,Na,22.99,3,1
12,Magnesium,Mg,24.305,3,2
13,Aluminum,Al,26.982,3,13
14,Silicon,Si,28.086,3,14
15,Phosphorus,P,30.974,3,15
16,Sulfur,S,32.065,3,16
17,Chlorine,Cl,35.453,3,17
18,Argon,Ar,39.948,3,18
19,Potassium,K,39.098,4,1
20,Calcium,Ca,40.078,4,2
21,Scandium,Sc,44.956,4,3
22,Titanium,Ti,47.867,4,4
23,Vanadium,V,50.942,4,5
24,Chromium,Cr,51.996,4,6
25,Manganese,Mn,54.938,4,7
26,Iron,Fe,55.845,4,8
27,Cobalt,Co,58.933,4,9
28,Nickel,Ni,58.693,4,10
29,Copper,Cu,63.546,4,11
30,Zinc,Zn,65.38,4,12
31,Gallium,Ga,69.723,4,13
32,Germanium,Ge,72.64,4,14
33,Arsenic,As,74.922,4,15
34,Selenium,Se,78.96,4,16
35,Bromine,Br,79.904,4,17
36,Krypton,Kr,83.798,4,18
37,Rubidium,Rb,85.468,5,1
38,Strontium,Sr,87.62,5,2
39,Yttrium,Y,88.906,5,3
40,Zirconium,Zr,91.224,5,4
41,Niobium,Nb,92.906,5,5
42,Molybdenum,Mo,95.96,5,6
43,Technetium,Tc,98.0,5,7
44,Ruthenium,Ru,101.07,5,8
45,Rhodium,Rh,102.906,5,9
46,Palladium,Pd,106.42,5,10
47,Silver,Ag,107.868,5,11
48,Cadmium,Cd,112.411,5,12
49,Indium,In,114.818,5,13
50,Tin,Sn,118.71,5,14
51,Antimony,Sb,121.76,5,15
52,Tellurium,Te,127.6,5,16
53,Iodine,I,126.904,5,17
54,Xenon,Xe,131.293,5,18
55,Cesium,Cs,132.905,6,1
56,Barium,Ba,137.327,6,2
57,Lanthanum,La,138.905,6,3
58,Cerium,Ce,140.116,6,0
59,Praseodymium,Pr,140.908,6,0
60,Neodymium,Nd,144.242,6,0
61,Promethium,Pm,145.0,6,0
62,Samarium,Sm,150.36,6,0
63,Europium,Eu,151.964,6,0
64,Gadolinium,Gd,157.25,6,0
65,Terbium,Tb,158.925,6,0
66,Dysprosium,Dy,162.5,6,0
67,Holmium,Ho,164.93,6,0
68,Erbium,Er,167.259,6,0
69,Thulium,Tm,168.934,6,0
70,Ytterbium,Yb,173.054,6,0
71,Lutetium,Lu,174.967,6,0
72,Hafnium,Hf,178.49,6,4
73,Tantalum,Ta,180.948,6,5
74,Tungsten,W,183.84,6,6
75,Rhenium,Re,186.207,6,7
76,Osmium,Os,190.23,6,8
77,Iridium,Ir,192.217,6,9
78,Platinum,Pt,195.084,6,10
79,Gold,Au,196.967,6,11
80,Mercury,Hg,200.59,6,12
81,Thallium,Tl,204.383,6,13
82,Lead,Pb,207.2,6,14
83,Bismuth,Bi,208.98,6,15
84,Polonium,Po,210.0,6,16
85,Astatine,At,210.0,6,17
86,Radon,Rn,222.0,6,18
87,Francium,Fr,223.0,7,1
88,Radium,Ra,226.0,7,2
89,Actinium,Ac,227.0,7,3
90,Thorium,Th,232.038,7,0
91,Protactinium,Pa,231.036,7,0
92,Uranium,U,238.029,7,0
93,Neptunium,Np,237.0,7,0
94,Plutonium,Pu,244.0,7,0
95,Americium,Am,243.0,7,0
96,Curium,Cm,247.0,7,0
97,Berkelium,Bk,247.0,7,0
98,Californium,Cf,251.0,7,0
99,Einsteinium,Es,252.0,7,0
100,Fermium,Fm,257.0,7,0
101,Mendelevium,Md,258.0,7,0
102,Nobelium,No,259.0,7,0
103,Lawrencium,Lr,262.0,7,0
104,Rutherfordium,Rf,261.0,7,4
105,Dubnium,Db,262.0,7,5
106,Seaborgium,Sg,266.0,7,6
107,Bohrium,Bh,264.0,7,7
108,Hassium,Hs,267.0,7,8
109,Meitnerium,Mt,268.0,7,9
110,Darmstadtium,Ds,271.0,7,10
111,Roentgenium,Rg,272.0,7,11
112,Copernicium,Cn,285.0,7,12
113,Nihonium,Nh,284.0,7,13
114,Flerovium,Fl,289.0,7,14
115,Moscovium,Mc,288.0,7,15
116,Livermorium,Lv,292.0,7,16
117,Tennessine,Ts,295.0,7,17
118,Oganesson,Og,294.0,7,18
